basin,country,year,Value
PMAL,MYS,2030,3553.843988446778
PMAL,MYS,2035,3585.3521441491735
PMAL,MYS,2040,3600.03794632231
PMAL,MYS,2045,3594.0351101230995
PMAL,MYS,2050,3574.153873825476
PMAL,MYS,2060,3454.9594169317957
PMAL,MYS,2070,3245.8798012002912
PMAL,MYS,2080,3127.930885313467
PMAL,MYS,2090,3046.8894588870867
PMAL,MYS,2100,2984.703601901937
ASII,NAM,2005,718.5486120613011
ASII,NAM,2010,715.658235404008
ASII,NAM,2015,719.9427311784896
ASII,NAM,2020,661.3920661763038
ASII,NAM,2025,638.4581109826302
ASII,NAM,2030,578.5190154656908
ASII,NAM,2035,512.438978656462
ASII,NAM,2040,449.8521516925858
ASII,NAM,2045,351.31596908450155
ASII,NAM,2050,278.7787282721073
ASII,NAM,2060,172.08032249450986
ASII,NAM,2070,102.47750554186995
ASII,NAM,2080,67.49366018806862
ASII,NAM,2090,57.346405555247614
ASII,NAM,2100,57.427135943115886
NAMC,NAM,2005,53.223090559825465
NAMC,NAM,2010,56.14943106710229
NAMC,NAM,2015,58.49846354822862
NAMC,NAM,2020,54.73201143015414
NAMC,NAM,2025,53.40874504047572
NAMC,NAM,2030,52.99728868312687
NAMC,NAM,2035,48.27292087479916
NAMC,NAM,2040,43.96235696168663
NAMC,NAM,2045,37.537731149264076
NAMC,NAM,2050,32.44920017578035
NAMC,NAM,2060,23.21016066483044
NAMC,NAM,2070,15.946346202580322
NAMC,NAM,2080,10.915909488190529
NAMC,NAM,2090,7.9187558521386405
NAMC,NAM,2100,6.070839699296102
ORAN,NAM,2005,9.539030321387157
ORAN,NAM,2010,10.015092656320185
ORAN,NAM,2015,9.968165293211092
ORAN,NAM,2020,9.210345945597151
ORAN,NAM,2025,8.632516868570411
ORAN,NAM,2030,7.464293895679161
ORAN,NAM,2035,6.668760626687445
ORAN,NAM,2040,6.0969203048822385
ORAN,NAM,2045,5.736837952701155
ORAN,NAM,2050,5.4334663788574975
ORAN,NAM,2060,4.741286086273172
ORAN,NAM,2070,4.092517346609329
ORAN,NAM,2080,3.6764228109126638
ORAN,NAM,2090,3.986168408054116
ORAN,NAM,2100,4.690940962791887
