scenario,region,type,*,year,value
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2025,-91.37184198251975
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2030,154.85729293744293
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2040,-61.946995345029656
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2050,-54.66346038949655
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2060,-52.142835510586885
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2070,-50.521951576133596
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2080,-46.380258450881
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2090,-40.965119998767456
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2100,-41.875788842649996
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2005,-6.256123410051192
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2010,6.486165406572846
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2015,-4.463499886164739
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2020,1.055466929499433
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2025,-5.521037190060917
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2030,8.770956653158954
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2040,0.9761916196464178
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2050,-4.200083240492297
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2060,-4.949506486676715
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2070,-5.931084113271945
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2080,-5.790792911712787
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2090,-5.870144933606928
SSP2_BaU_NoCC,TUR,Emi_CO2_AFO,Mt CO2/yr,2100,-5.890113811027879
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2005,-151.495199652216
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2010,-127.1856727319581
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2015,-152.7554335539923
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2020,398.0670642663771
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2025,-150.38341574674274
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2030,291.3584285957006
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2040,-41.03563700604272
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2050,-32.30073351760643
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2060,-13.34507801453077
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2070,15.871945028286717
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2080,-23.680356870104987
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2090,-75.59292058502338
SSP2_BaU_NoCC,USA,Emi_CO2_AFO,Mt CO2/yr,2100,-113.83820057252544
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2005,-626.3226525692307
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2010,-259.72271640591384
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2015,-242.78012530854767
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2020,1188.2614766883514
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2025,-378.454533616436
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2030,1200.1691374949414
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2040,-328.80895077579265
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2050,-400.73636785222664
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2060,-382.0460333972911
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2070,-336.27077823459103
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2080,-334.28321827031664
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2090,-385.70759212888265
SSP2_BaU_NoCC,R5OECD90+EU,Emi_CO2_AFO,Mt CO2/yr,2100,-496.6881180471189
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2005,-77.56422920374762
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2010,77.29126292064146
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2015,49.12983697899992
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2020,-8.375425714055623
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2025,-49.60059364021489
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2030,23.273449932069397
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2040,-41.31074503264119
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2050,-44.06451506255697
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2060,-59.85699908606061
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2070,-64.90687143072003
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2080,-62.74322769973577
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2090,-32.51125169348798
SSP2_BaU_NoCC,R5REF,Emi_CO2_AFO,Mt CO2/yr,2100,-64.81897593568817
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2005,-1136.860855602556
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2010,634.0160797984051
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2015,73.90516327954015
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2020,482.1854918068568
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2025,-857.6004756047477
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2030,849.6733966626434
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2040,-845.4588176313918
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2050,-1122.5455982475296
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2060,-1153.4474809683754
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2070,-1253.2035718324892
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2080,-1210.0644942723025
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2090,-764.9029400638353
SSP2_BaU_NoCC,R5ASIA,Emi_CO2_AFO,Mt CO2/yr,2100,-215.79802773021356
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2005,-429.77173944836204
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2010,179.52477490911622
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2015,150.4978832548939
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2020,688.8228545073333
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2025,907.79857265638
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2030,2270.7588689091617
SSP2_BaU_NoCC,R5MAF,Emi_CO2_AFO,Mt CO2/yr,2040,1968.8383918498657
