region,year,crop,value
BRA,2070,OTH_AIR,235.53826056971022
BRA,2070,PDRRF,2483.8003057382048
BRA,2070,WHTRF,2142.991894371473
BRA,2070,GRORF,16509.569257083334
BRA,2070,OSDRF,35922.75813983876
BRA,2070,C_BRF,12001.019917765292
BRA,2070,OTH_ARF,5490.74628356361
BRA,2070,CLDEGS,2584.0928182760335
BRA,2070,NRFABD,31706.808335814887
BRA,2070,NRGABD,19167.27098363198
BRA,2070,DEF,255.61820319174572
BRA,2070,DEG,0.018534371973866304
BRA,2070,NRFABDCUM,8335.47505701039
BRA,2070,NRGABDCUM,4029.2885630257815
BRA,2080,FRS,475503.3766100918
BRA,2080,GL,122756.67311657619
BRA,2080,CL,70402.57037865694
BRA,2080,CROP_FLW,16066.933654858392
BRA,2080,PAS,145985.35204566305
BRA,2080,SL,3622.6989126990784
BRA,2080,OL,33733.17440388162
BRA,2080,PRMFRS,375803.3057957247
BRA,2080,SECFRS,99700.07081436692
BRA,2080,MNGFRS,182276.3009166713
BRA,2080,UMNFRS,293227.07569342013
BRA,2080,NRMFRS,475503.37806459394
BRA,2080,AGOFRS,32595.935539830905
BRA,2080,PRMGL,71299.45841444426
BRA,2080,SECGL,51457.21470213181
BRA,2080,MNGPAS,119776.43098651744
BRA,2080,RAN,26208.921059145134
BRA,2080,PDRIR,1030.8080769302906
BRA,2080,WHTIR,3.85760949800682
BRA,2080,GROIR,105.66191485751558
BRA,2080,OSDIR,193.9745815684987
BRA,2080,C_BIR,531.9140029598033
BRA,2080,OTH_AIR,235.53115600222932
BRA,2080,PDRRF,2124.6119138852096
BRA,2080,WHTRF,2195.5668301704522
BRA,2080,GRORF,14441.462832640236
BRA,2080,OSDRF,33032.179134347054
BRA,2080,C_BRF,11607.402703469565
BRA,2080,OTH_ARF,4899.600844115642
BRA,2080,CLDEGS,2543.645183755473
BRA,2080,NRFABD,29130.72445157641
BRA,2080,NRGABD,17003.175203552295
BRA,2080,DEF,28.567925896017744
BRA,2080,DEG,0.007722779517023944
BRA,2080,NRFABDCUM,32144.434256572236
BRA,2080,NRGABDCUM,18805.05724579925
BRA,2090,FRS,510284.2821216737
BRA,2090,GL,143281.3554521174
BRA,2090,CL,64311.63092667997
BRA,2090,CROP_FLW,18451.558605652892
BRA,2090,PAS,94048.0663354268
BRA,2090,SL,3960.7133212535873
BRA,2090,OL,33733.17228352064
BRA,2090,PRMFRS,375801.3893108889
BRA,2090,SECFRS,134482.89281078425
BRA,2090,MNGFRS,217058.01690936444
BRA,2090,UMNFRS,293226.2652123089
BRA,2090,NRMFRS,510284.2546589284
BRA,2090,AGOFRS,30316.68363255305
BRA,2090,PRMGL,71299.43617628272
BRA,2090,SECGL,71981.91927583472
BRA,2090,MNGPAS,92187.22944211727
BRA,2090,RAN,1860.8368933097008
BRA,2090,PDRIR,799.4990690079713
BRA,2090,WHTIR,3.85760949800682
BRA,2090,GROIR,89.33956129877808
BRA,2090,OSDIR,187.86510559286268
BRA,2090,C_BIR,519.6879041764258
BRA,2090,OTH_AIR,234.15290600502058
BRA,2090,PDRRF,2024.1662260765172
BRA,2090,WHTRF,2191.9002900621595
BRA,2090,GRORF,12482.00311510695
BRA,2090,OSDRF,30478.101406583333
BRA,2090,C_BRF,11013.121625360822
BRA,2090,OTH_ARF,4287.936350768308
BRA,2090,CLDEGS,2505.692453488423
BRA,2090,NRFABD,34783.44175150793
BRA,2090,NRGABD,20524.709013291074
BRA,2090,DEF,2.563702671116656
BRA,2090,DEG,0.027183963648881544
BRA,2090,NRFABDCUM,66150.09883693086
BRA,2090,NRGABDCUM,39264.0854224974
BRA,2100,FRS,536357.3660128368
BRA,2100,GL,158398.3912953421
BRA,2100,CL,57772.01279127137
BRA,2100,CROP_FLW,19743.164427586176
BRA,2100,PAS,57737.50095073865
BRA,2100,SL,4329.1706566102
BRA,2100,OL,33733.173388682495
BRA,2100,PRMFRS,375795.2002342268
BRA,2100,SECFRS,160562.16577860963
BRA,2100,MNGFRS,243132.20891630248
BRA,2100,UMNFRS,293225.1570965333
BRA,2100,NRMFRS,536357.3705577103
BRA,2100,AGOFRS,27598.172554420238
BRA,2100,PRMGL,71299.42774776572
BRA,2100,SECGL,87098.96354757619
BRA,2100,MNGPAS,57527.802255168834
BRA,2100,RAN,209.69869556980868
BRA,2100,PDRIR,648.7609757088969
BRA,2100,WHTIR,3.85760949800682
BRA,2100,GROIR,75.30765046761202
BRA,2100,OSDIR,173.95561438914086
BRA,2100,C_BIR,502.62192501066653
BRA,2100,OTH_AIR,226.3141105780766
BRA,2100,PDRRF,1909.1486547149132
BRA,2100,WHTRF,2108.396730352041
BRA,2100,GRORF,10632.240472300158
BRA,2100,OSDRF,27452.333145553974
BRA,2100,C_BRF,10208.761432534953
BRA,2100,OTH_ARF,3830.313690623928
BRA,2100,CLDEGS,2313.7838553635374
BRA,2100,NRFABD,26080.76288817664
BRA,2100,NRGABD,15117.046246536907
BRA,2100,DEF,7.674452140276398
BRA,2100,DEG,0.011120898511301004
BRA,2100,NRFABDCUM,91904.20131961974
BRA,2100,NRGABDCUM,54362.09703391979
CAN,2005,FRS,534583.465329439
CAN,2005,GL,288634.58535170625
CAN,2005,CL,44815.561208332285
CAN,2005,CROP_FLW,4596.77388057933
CAN,2005,PAS,14650.902183833468
CAN,2005,SL,888.6288749571868
CAN,2005,OL,229683.3165462447
CAN,2005,PRMFRS,471732.83927920053
CAN,2005,SECFRS,62850.62605023717
CAN,2005,MNGFRS,109421.26915147572
CAN,2005,UMNFRS,425162.19617796264
CAN,2005,NRMFRS,534583.465329439
CAN,2005,AGOFRS,93.84412394170818
CAN,2005,PRMGL,287726.27048213495
CAN,2005,SECGL,908.3148695718191
CAN,2005,MNGPAS,1065.3076870742661
CAN,2005,RAN,13585.594496759204
CAN,2005,WHTIR,155.4507656270194
CAN,2005,GROIR,250.46229029725896
CAN,2005,OSDIR,54.403482197529485
CAN,2005,OTH_AIR,108.68151315414443
CAN,2005,WHTRF,16057.754644586503
CAN,2005,GRORF,11459.658102704378
CAN,2005,OSDRF,12556.979847335519
CAN,2005,C_BRF,23.020469725609466
CAN,2005,OTH_ARF,4149.15009270431
CAN,2005,CLDEGS,879.2753432922303
CAN,2010,FRS,532186.1059309533
CAN,2010,GL,292023.6272195413
CAN,2010,CL,44134.114892331076
CAN,2010,CROP_FLW,4286.556303286419
CAN,2010,PAS,14650.901946611835
CAN,2010,SL,888.6101932160657
CAN,2010,OL,229683.31688915403
CAN,2010,PRMFRS,470579.11389070994
CAN,2010,SECFRS,61606.99204024139
CAN,2010,MNGFRS,109407.38323882395
CAN,2010,UMNFRS,422778.72269212845
CAN,2010,NRMFRS,532186.1026263441
CAN,2010,AGOFRS,93.81300732956981
CAN,2010,PRMGL,286877.95079011127
CAN,2010,SECGL,5145.676429430053
CAN,2010,MNGPAS,1065.3832608078758
CAN,2010,RAN,13585.51868580397
CAN,2010,WHTIR,155.26062246024307
CAN,2010,GROIR,245.96539562178614
CAN,2010,OSDIR,54.40302289859312
CAN,2010,OTH_AIR,108.68078070282442
CAN,2010,WHTRF,13159.002586183207
CAN,2010,GRORF,7739.282759511035
CAN,2010,OSDRF,14296.415644736244
CAN,2010,C_BRF,18.05073577875269
CAN,2010,OTH_ARF,8357.046020005993
CAN,2010,CLDEGS,861.0793741462008
CAN,2010,NRFABD,2664.739007326009
CAN,2010,NRGABD,4238.11502675216
CAN,2010,DEF,5062.101710420138
CAN,2010,DEG,849.0804133479069
CAN,2010,NRFABDCUM,2664.7575718178964
CAN,2010,NRGABDCUM,4238.121262156165
CAN,2015,FRS,531516.4978631441
CAN,2015,GL,294802.0627306659
CAN,2015,CL,46424.98022337952
CAN,2015,CROP_FLW,1447.253904366062
CAN,2015,PAS,13979.122693936646
CAN,2015,OL,229683.31595959916
CAN,2015,PRMFRS,469433.1479629176
CAN,2015,SECFRS,62083.3499002272
CAN,2015,MNGFRS,110545.02177303327
CAN,2015,UMNFRS,420971.4760901115
CAN,2015,NRMFRS,531516.498423838
CAN,2015,AGOFRS,93.21652062143554
CAN,2015,PRMGL,286423.35315106326
CAN,2015,SECGL,8378.709579601747
CAN,2015,MNGPAS,1053.8645409968353
CAN,2015,RAN,12925.258152939805
CAN,2015,WHTIR,155.26062246024307
CAN,2015,GROIR,244.03068238489095
CAN,2015,OSDIR,54.40302289859312
CAN,2015,OTH_AIR,102.98777444703825
CAN,2015,WHTRF,13964.748819169445
CAN,2015,GRORF,7325.696625229923
CAN,2015,OSDRF,16806.03279121494
CAN,2015,C_BRF,10.692516291205193
CAN,2015,OTH_ARF,7761.126246342946
CAN,2015,CLDEGS,922.9751823159103
CAN,2015,NRFABD,1947.9980823232754
CAN,2015,NRGABD,3235.317170775171
CAN,2015,DEF,2617.6055894369983
CAN,2015,DEG,456.8814666220765
CAN,2015,NRFABDCUM,4592.561506159813
CAN,2015,NRGABDCUM,7473.3920713960415
CAN,2020,FRS,529682.4882498246
CAN,2020,GL,295101.0043414969
CAN,2020,CL,45103.39062154596
CAN,2020,CROP_FLW,1660.2483285414105
CAN,2020,PAS,15627.019863023148
CAN,2020,SL,995.8749748163714
CAN,2020,OL,229683.20699584403
CAN,2020,PRMFRS,469320.17823109403
CAN,2020,SECFRS,60362.31001873084
CAN,2020,MNGFRS,109241.01793760837
CAN,2020,UMNFRS,420441.4703122157
CAN,2020,NRMFRS,529682.4859555163
CAN,2020,AGOFRS,92.89628773053353
CAN,2020,PRMGL,286319.3206043835
CAN,2020,SECGL,8781.683737112742
CAN,2020,MNGPAS,2701.762328968427
CAN,2020,RAN,12925.257534054748
CAN,2020,WHTIR,153.45729831195152
CAN,2020,GROIR,243.38791777893124
CAN,2020,OSDIR,54.40302289859312
CAN,2020,OTH_AIR,100.14143412664166
CAN,2020,WHTRF,13158.975725943092
CAN,2020,GRORF,7047.508030846783
CAN,2020,OSDRF,16942.12535567132
CAN,2020,C_BRF,10.875678309475193
CAN,2020,OTH_ARF,7392.51404849099
CAN,2020,CLDEGS,875.3347660011009
CAN,2020,NRFABD,140.0352916791606
CAN,2020,NRGABD,654.0085111503429
CAN,2020,DEF,1974.047199307815
CAN,2020,DEG,355.0695648687292
CAN,2020,NRFABDCUM,3679.8911109885807
CAN,2020,NRGABDCUM,7875.661969723822
CAN,2025,FRS,529619.0341660861
CAN,2025,GL,295426.89031200274
CAN,2025,CL,44885.27524772004
CAN,2025,CROP_FLW,1384.8823290129078
CAN,2025,PAS,16853.94508206284
CAN,2025,OL,229683.20627300898
CAN,2025,PRMFRS,469148.24289148086
CAN,2025,SECFRS,60470.791274607
CAN,2025,MNGFRS,109639.11753631356
CAN,2025,UMNFRS,419979.9166297734
CAN,2025,NRMFRS,529619.0363431048
CAN,2025,AGOFRS,92.89628773053353
CAN,2025,PRMGL,286204.3875802283
CAN,2025,SECGL,9222.50273177332
CAN,2025,MNGPAS,3928.688252916353
CAN,2025,RAN,12925.25682914648
CAN,2025,WHTIR,153.45710278154382
CAN,2025,GROIR,242.9386266953572
CAN,2025,OSDIR,54.40302289859312
CAN,2025,OTH_AIR,100.14143412664166
CAN,2025,WHTRF,13147.731097368527
CAN,2025,GRORF,6898.686345900897
CAN,2025,OSDRF,17240.682649502833
CAN,2025,C_BRF,11.04295922789519
CAN,2025,OTH_ARF,7036.193592649466
CAN,2025,CLDEGS,871.948729996865
CAN,2025,NRFABD,911.8762762597154
CAN,2025,NRGABD,524.6181076352608
CAN,2025,DEF,975.3281829782744
CAN,2025,DEG,198.73378189407717
CAN,2025,NRFABDCUM,4353.065451420163
CAN,2025,NRGABDCUM,8296.812160329584
CAN,2030,FRS,527571.9342673017
CAN,2030,GL,294971.8624313895
CAN,2030,CL,45408.55395537673
CAN,2030,CROP_FLW,1396.2917882080376
CAN,2030,PAS,17710.54246605194
CAN,2030,SL,1110.9830457552146
CAN,2030,OL,229683.06542100935
CAN,2030,PRMFRS,469002.6631250015
CAN,2030,SECFRS,58569.27114229925
CAN,2030,MNGFRS,107735.43033565556
CAN,2030,UMNFRS,419836.5039316453
CAN,2030,NRMFRS,527571.9410026688
CAN,2030,AGOFRS,92.89104694885793
CAN,2030,PRMGL,286107.0944058303
CAN,2030,SECGL,8864.768025559828
CAN,2030,MNGPAS,4785.288459874937
CAN,2030,RAN,12925.254006177003
CAN,2030,WHTIR,153.4272392871158
CAN,2030,GROIR,242.89614441386072
CAN,2030,OSDIR,54.38859726897002
CAN,2030,OTH_AIR,100.10346347704616
CAN,2030,WHTRF,13361.128174875252
CAN,2030,GRORF,6921.778719175952
CAN,2030,OSDRF,17768.5873054213
CAN,2030,C_BRF,11.38425767919893
CAN,2030,OTH_ARF,6794.863173623245
CAN,2030,CLDEGS,891.3058829978719
CAN,2030,NRFABD,44.818132401515044
CAN,2030,NRGABD,68.8773797612605
CAN,2030,DEF,2091.9112958198643
CAN,2030,DEG,523.9031500820881
CAN,2030,NRFABDCUM,2985.533735516672
CAN,2030,NRGABDCUM,7958.7256158864775
CAN,2040,FRS,528603.3778888105
CAN,2040,GL,296489.0527890185
CAN,2040,CL,46731.47524794131
CAN,2040,CROP_FLW,1434.7014148566366
CAN,2040,PAS,13674.339195711429
CAN,2040,SL,1237.398017689723
CAN,2040,OL,229682.88884631995
CAN,2040,PRMFRS,468934.18048314174
CAN,2040,SECFRS,59669.19740566896
CAN,2040,MNGFRS,108842.59019712114
