basin,year,type,Value
AFG_AMDA,2090,SECFRS,977.9385692759769
AFG_AMDA,2090,MNGFRS,926.7155990201815
AFG_AMDA,2090,UMNFRS,374.944372961907
AFG_AMDA,2090,NRMFRS,1301.6595903982104
AFG_AMDA,2090,AGOFRS,88.4133752333312
AFG_AMDA,2090,PRMGL,2773.722773052436
AFG_AMDA,2090,SECGL,2986.376838527701
AFG_AMDA,2090,MNGPAS,1503.9522167048515
AFG_AMDA,2090,RAN,269.5122360546246
AFG_AMDA,2090,PDRIR,39.11990384940294
AFG_AMDA,2090,WHTIR,325.8920848101136
AFG_AMDA,2090,GROIR,134.21171134107053
AFG_AMDA,2090,OSDIR,15.901161815830664
AFG_AMDA,2090,OTH_AIR,39.75851143651281
AFG_AMDA,2090,PDRRF,78.7354961414133
AFG_AMDA,2090,WHTRF,1549.3460313239375
AFG_AMDA,2090,GRORF,233.28318981556023
AFG_AMDA,2090,OSDRF,31.485971120815133
AFG_AMDA,2090,OTH_ARF,431.1702859746431
AFG_AMDA,2090,CLDEGS,1193.1769271074388
AFG_AMDA,2090,NRFABD,258.44127689025447
AFG_AMDA,2090,NRGABD,868.6809533581633
AFG_AMDA,2090,DEG,107.6103838997341
AFG_AMDA,2090,NRFABDCUM,647.2815903637609
AFG_AMDA,2090,NRGABDCUM,2029.9650944200655
AFG_AMDA,2100,FRS,1350.0875690804612
AFG_AMDA,2100,GL,5804.519997345538
AFG_AMDA,2100,CL,2981.6850863882873
AFG_AMDA,2100,CROP_FLW,2722.311243163161
AFG_AMDA,2100,PAS,1422.711341048972
AFG_AMDA,2100,SL,51.20912458231465
AFG_AMDA,2100,OL,169.25490700983121
AFG_AMDA,2100,PRMFRS,323.72130107769163
AFG_AMDA,2100,SECFRS,1026.3662680027699
AFG_AMDA,2100,MNGFRS,975.1432977469744
AFG_AMDA,2100,UMNFRS,374.94427133348705
AFG_AMDA,2100,NRMFRS,1350.0879095271919
AFG_AMDA,2100,AGOFRS,88.4133752333312
AFG_AMDA,2100,PRMGL,2702.8456431362292
AFG_AMDA,2100,SECGL,3101.674354209311
AFG_AMDA,2100,MNGPAS,1308.060453512964
AFG_AMDA,2100,RAN,114.65088753600813
AFG_AMDA,2100,PDRIR,35.64684577953453
AFG_AMDA,2100,WHTIR,325.86112576038886
AFG_AMDA,2100,GROIR,134.19156715038463
AFG_AMDA,2100,OSDIR,15.882480577572709
AFG_AMDA,2100,OTH_AIR,39.72477570040939
