scenario,region,type,year,value
SSP2_500C_NoCC,CAN,C_B,2060,14.608396548540561
SSP2_500C_NoCC,CAN,C_B,2070,18.90201067523583
SSP2_500C_NoCC,CAN,C_B,2080,19.230874327135627
SSP2_500C_NoCC,CAN,C_B,2090,20.531604374653494
SSP2_500C_NoCC,CAN,C_B,2100,21.22865990974217
SSP2_500C_NoCC,CAN,CL,2005,49639.564003231804
SSP2_500C_NoCC,CAN,CL,2010,47249.25708804579
SSP2_500C_NoCC,CAN,CL,2015,47996.12505252984
SSP2_500C_NoCC,CAN,CL,2020,46645.979221588546
SSP2_500C_NoCC,CAN,CL,2025,45716.00451433769
SSP2_500C_NoCC,CAN,CL,2030,44670.88057905592
SSP2_500C_NoCC,CAN,CL,2035,43170.32516871101
SSP2_500C_NoCC,CAN,CL,2040,41733.717420355264
SSP2_500C_NoCC,CAN,CL,2045,40464.453897253
SSP2_500C_NoCC,CAN,CL,2050,39277.16609823068
SSP2_500C_NoCC,CAN,CL,2060,43927.40544191717
SSP2_500C_NoCC,CAN,CL,2070,41691.67958075681
SSP2_500C_NoCC,CAN,CL,2080,43564.1782621559
SSP2_500C_NoCC,CAN,CL,2090,46282.59574169149
SSP2_500C_NoCC,CAN,CL,2100,46754.61658527783
SSP2_500C_NoCC,CAN,CROP_FLW,2005,4661.821410651588
SSP2_500C_NoCC,CAN,CROP_FLW,2010,2954.148861830017
SSP2_500C_NoCC,CAN,CROP_FLW,2015,1412.257660567956
SSP2_500C_NoCC,CAN,CROP_FLW,2020,1394.3121366893301
SSP2_500C_NoCC,CAN,CROP_FLW,2025,1381.4860914902301
SSP2_500C_NoCC,CAN,CROP_FLW,2030,1401.9353379847332
SSP2_500C_NoCC,CAN,CROP_FLW,2035,1389.9497376282848
SSP2_500C_NoCC,CAN,CROP_FLW,2040,1375.704536284733
SSP2_500C_NoCC,CAN,CROP_FLW,2045,1327.1853845886112
SSP2_500C_NoCC,CAN,CROP_FLW,2050,1300.6535213469149
SSP2_500C_NoCC,CAN,CROP_FLW,2060,1393.11013599942
SSP2_500C_NoCC,CAN,CROP_FLW,2070,1374.26172025325
SSP2_500C_NoCC,CAN,CROP_FLW,2080,1387.3637453310373
SSP2_500C_NoCC,CAN,CROP_FLW,2090,1403.6973684487518
SSP2_500C_NoCC,CAN,CROP_FLW,2100,1403.8951625655652
SSP2_500C_NoCC,CAN,GL,2005,265784.00038912194
SSP2_500C_NoCC,CAN,GL,2010,253269.77535412755
SSP2_500C_NoCC,CAN,GL,2015,253634.77379888066
SSP2_500C_NoCC,CAN,GL,2020,253592.4932775142
SSP2_500C_NoCC,CAN,GL,2025,253556.5830839914
SSP2_500C_NoCC,CAN,GL,2030,254433.82056937815
SSP2_500C_NoCC,CAN,GL,2035,253861.4259068663
SSP2_500C_NoCC,CAN,GL,2040,253209.70363696775
SSP2_500C_NoCC,CAN,GL,2045,251816.3734691983
SSP2_500C_NoCC,CAN,GL,2050,251124.1902343879
SSP2_500C_NoCC,CAN,GL,2060,251914.95422696715
SSP2_500C_NoCC,CAN,GL,2070,252292.9669898929
SSP2_500C_NoCC,CAN,GL,2080,251958.22396222065
SSP2_500C_NoCC,CAN,GL,2090,251469.98074878703
SSP2_500C_NoCC,CAN,GL,2100,251386.0654355485
SSP2_500C_NoCC,CAN,GRO,2005,11785.097853828254
SSP2_500C_NoCC,CAN,GRO,2010,8059.614094935026
SSP2_500C_NoCC,CAN,GRO,2015,7634.686435676253
SSP2_500C_NoCC,CAN,GRO,2020,7350.989792300214
SSP2_500C_NoCC,CAN,GRO,2025,6861.292206537217
SSP2_500C_NoCC,CAN,GRO,2030,6431.745864915543
SSP2_500C_NoCC,CAN,GRO,2035,5836.139644087567
SSP2_500C_NoCC,CAN,GRO,2040,5359.067720975958
SSP2_500C_NoCC,CAN,GRO,2045,4969.305750248496
SSP2_500C_NoCC,CAN,GRO,2050,4409.2091065591285
SSP2_500C_NoCC,CAN,GRO,2060,3158.5134352015425
SSP2_500C_NoCC,CAN,GRO,2070,2086.6047420937407
SSP2_500C_NoCC,CAN,GRO,2080,1497.883559045873
SSP2_500C_NoCC,CAN,GRO,2090,1130.1964778572476
SSP2_500C_NoCC,CAN,GRO,2100,839.8568199114897
SSP2_500C_NoCC,CAN,OL,2005,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2010,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2015,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2020,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2025,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2030,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2035,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2040,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2045,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2050,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2060,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2070,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2080,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2090,115168.96411662595
SSP2_500C_NoCC,CAN,OL,2100,115168.96411662595
SSP2_500C_NoCC,CAN,OTH_A,2005,4288.767011863499
SSP2_500C_NoCC,CAN,OTH_A,2010,8496.687191455692
SSP2_500C_NoCC,CAN,OTH_A,2015,7896.549442186164
SSP2_500C_NoCC,CAN,OTH_A,2020,7523.519059366543
SSP2_500C_NoCC,CAN,OTH_A,2025,6850.08778357476
SSP2_500C_NoCC,CAN,OTH_A,2030,6251.335821267154
SSP2_500C_NoCC,CAN,OTH_A,2035,5708.6908935785905
SSP2_500C_NoCC,CAN,OTH_A,2040,5225.100736746649
SSP2_500C_NoCC,CAN,OTH_A,2045,4844.367930920683
SSP2_500C_NoCC,CAN,OTH_A,2050,4488.107545417844
SSP2_500C_NoCC,CAN,OTH_A,2060,4204.5027324884495
SSP2_500C_NoCC,CAN,OTH_A,2070,3520.0552875842845
SSP2_500C_NoCC,CAN,OTH_A,2080,3189.3099532352317
SSP2_500C_NoCC,CAN,OTH_A,2090,3017.4129857841604
SSP2_500C_NoCC,CAN,OTH_A,2100,2855.4147685435873
SSP2_500C_NoCC,CAN,PAS,2005,14694.108921689829
SSP2_500C_NoCC,CAN,PAS,2010,14694.108921689829
SSP2_500C_NoCC,CAN,PAS,2015,14020.351320013202
SSP2_500C_NoCC,CAN,PAS,2020,15673.914153875672
SSP2_500C_NoCC,CAN,PAS,2025,16709.081240981337
SSP2_500C_NoCC,CAN,PAS,2030,12784.194459534021
SSP2_500C_NoCC,CAN,PAS,2035,11876.756483882167
SSP2_500C_NoCC,CAN,PAS,2040,11429.366441366672
SSP2_500C_NoCC,CAN,PAS,2045,10929.077128985537
SSP2_500C_NoCC,CAN,PAS,2050,6163.599279917851
SSP2_500C_NoCC,CAN,PAS,2060,120.86571348325707
SSP2_500C_NoCC,CAN,PAS,2070,114.98256864038207
SSP2_500C_NoCC,CAN,PAS,2080,114.31470159366677
SSP2_500C_NoCC,CAN,PAS,2090,111.87975746369554
SSP2_500C_NoCC,CAN,PAS,2100,108.83768992205238
SSP2_500C_NoCC,CAN,SL,2005,359.4025084350175
SSP2_500C_NoCC,CAN,SL,2010,383.49766331710356
SSP2_500C_NoCC,CAN,SL,2015,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2020,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2025,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2030,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2035,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2040,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2045,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2050,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2060,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2070,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2080,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2090,415.6138654647125
SSP2_500C_NoCC,CAN,SL,2100,415.6138654647125
SSP2_500C_NoCC,CHN,wht,2005,11494.19678195626
SSP2_500C_NoCC,CHN,wht,2010,12012.603124707291
SSP2_500C_NoCC,CHN,wht,2015,11139.814790073884
SSP2_500C_NoCC,CHN,wht,2020,10104.667899010263
SSP2_500C_NoCC,CHN,wht,2025,10021.827118957724
SSP2_500C_NoCC,CHN,wht,2030,9937.478745011751
SSP2_500C_NoCC,CHN,wht,2035,9834.649560006203
SSP2_500C_NoCC,CHN,wht,2040,9767.191688673116
SSP2_500C_NoCC,CHN,wht,2045,9671.306597638828
SSP2_500C_NoCC,CHN,wht,2050,9474.147755041404
SSP2_500C_NoCC,CHN,wht,2060,8766.798769263616
SSP2_500C_NoCC,CHN,wht,2070,8317.41467542322
SSP2_500C_NoCC,CHN,wht,2080,8039.675917207345
SSP2_500C_NoCC,CHN,wht,2090,7738.137414112458
SSP2_500C_NoCC,CHN,wht,2100,7355.457812238526
SSP2_500C_NoCC,CHN,frs,2005,204672.90926902756
SSP2_500C_NoCC,CHN,frs,2010,207126.6757103726
SSP2_500C_NoCC,CHN,frs,2015,207185.91971892424
SSP2_500C_NoCC,CHN,frs,2020,212086.17252482823
SSP2_500C_NoCC,CHN,frs,2025,218053.05572715093
SSP2_500C_NoCC,CHN,frs,2030,229303.18083759735
SSP2_500C_NoCC,CHN,frs,2035,229316.4314854045
SSP2_500C_NoCC,CHN,frs,2040,221108.88683657267
SSP2_500C_NoCC,CHN,frs,2045,206603.41196219952
SSP2_500C_NoCC,CHN,frs,2050,193700.83781844875
SSP2_500C_NoCC,CHN,frs,2060,219437.9405749609
