scenario,basin,type,year,value
SSP2_500C_NoCC,AFG_CSEC,CL,2090,1955.0489083019975
SSP2_500C_NoCC,AFG_CSEC,CL,2100,1971.691694733509
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2005,839.0143003600713
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2010,818.5134984508206
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2015,837.1160767956103
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2020,781.9701456991943
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2025,1003.8353579642746
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2030,1056.6451691796344
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2035,999.1742428849396
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2040,902.5248387844758
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2045,803.6851043683384
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2050,693.4679473142334
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2060,735.501038751488
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2070,735.7564737487482
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2080,747.8782711081859
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2090,753.7146937911975
SSP2_500C_NoCC,AFG_CSEC,CROP_FLW,2100,756.0953645843081
SSP2_500C_NoCC,AFG_CSEC,GL,2005,8378.900801075348
SSP2_500C_NoCC,AFG_CSEC,GL,2010,3656.5863491039536
SSP2_500C_NoCC,AFG_CSEC,GL,2015,3653.0310226349607
SSP2_500C_NoCC,AFG_CSEC,GL,2020,3399.0793954248074
SSP2_500C_NoCC,AFG_CSEC,GL,2025,4405.021876198099
SSP2_500C_NoCC,AFG_CSEC,GL,2030,4617.784702101799
SSP2_500C_NoCC,AFG_CSEC,GL,2035,4303.179474788773
SSP2_500C_NoCC,AFG_CSEC,GL,2040,3786.734909836411
SSP2_500C_NoCC,AFG_CSEC,GL,2045,3269.674648307557
SSP2_500C_NoCC,AFG_CSEC,GL,2050,2697.8309293127686
SSP2_500C_NoCC,AFG_CSEC,GL,2060,2452.003935049432
SSP2_500C_NoCC,AFG_CSEC,GL,2070,2480.187166898458
SSP2_500C_NoCC,AFG_CSEC,GL,2080,2374.8487284121543
SSP2_500C_NoCC,AFG_CSEC,GL,2090,2324.139214641799
SSP2_500C_NoCC,AFG_CSEC,GL,2100,2314.906107181275
SSP2_500C_NoCC,AFG_CSEC,GRO,2005,96.95385293034217
SSP2_500C_NoCC,AFG_CSEC,GRO,2010,80.67829223880123
SSP2_500C_NoCC,AFG_CSEC,GRO,2015,94.30983300264
SSP2_500C_NoCC,AFG_CSEC,GRO,2020,92.48842983770241
SSP2_500C_NoCC,AFG_CSEC,GRO,2025,91.79134787997475
SSP2_500C_NoCC,AFG_CSEC,GRO,2030,88.31426421156918
SSP2_500C_NoCC,AFG_CSEC,GRO,2035,78.60663940870893
SSP2_500C_NoCC,AFG_CSEC,GRO,2040,63.48997092601847
SSP2_500C_NoCC,AFG_CSEC,GRO,2045,54.83152718998865
SSP2_500C_NoCC,AFG_CSEC,GRO,2050,50.61421153754584
SSP2_500C_NoCC,AFG_CSEC,GRO,2060,36.297386202908406
SSP2_500C_NoCC,AFG_CSEC,GRO,2070,38.09951552052117
SSP2_500C_NoCC,AFG_CSEC,GRO,2080,42.75293528460358
SSP2_500C_NoCC,AFG_CSEC,GRO,2090,48.3711091542677
SSP2_500C_NoCC,AFG_CSEC,GRO,2100,50.08454482674891
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2005,59.16623476833391
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2010,77.6437243320733
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2015,103.74507617827942
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2020,100.94011103281497
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2025,103.70195172482812
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2030,120.4557591904169
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2035,129.57306066436198
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2040,130.4341500003417
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2045,127.42397849697936
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2050,115.74607369431013
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2060,79.53947291738196
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2070,91.72594653786022
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2080,106.51535542611839
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2090,119.65812384636546
SSP2_500C_NoCC,AFG_CSEC,OTH_A,2100,122.85718288480635
SSP2_500C_NoCC,AFG_CSEC,PAS,2005,4714.317631752241
SSP2_500C_NoCC,AFG_CSEC,PAS,2010,4714.317631752241
SSP2_500C_NoCC,AFG_CSEC,PAS,2015,4713.121218267629
SSP2_500C_NoCC,AFG_CSEC,PAS,2020,5044.31778109335
SSP2_500C_NoCC,AFG_CSEC,PAS,2025,2978.2049380229023
SSP2_500C_NoCC,AFG_CSEC,PAS,2030,1841.8510049957483
SSP2_500C_NoCC,AFG_CSEC,PAS,2035,1144.873048085216
SSP2_500C_NoCC,AFG_CSEC,PAS,2040,725.9371902085047
SSP2_500C_NoCC,AFG_CSEC,PAS,2045,464.9534522103
SSP2_500C_NoCC,AFG_CSEC,PAS,2050,285.45220045226455
SSP2_500C_NoCC,AFG_CSEC,PAS,2060,111.33875077298397
SSP2_500C_NoCC,AFG_CSEC,PAS,2070,99.52862093624033
SSP2_500C_NoCC,AFG_CSEC,PAS,2080,89.8458276962571
SSP2_500C_NoCC,AFG_CSEC,PAS,2090,84.25401708894704
SSP2_500C_NoCC,AFG_CSEC,PAS,2100,78.18356368241773
